Survived,Pclass,Name,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked,TicketData
0,3,Mr,male,22.0,1,0,7.25,,S,21171.0
1,1,Mrs,female,38.0,1,0,71.2833,C85,C,17599.0
1,3,Miss,female,26.0,0,0,7.925,,S,3101282.0
1,1,Mrs,female,35.0,1,0,53.1,C123,S,113803.0
0,3,Mr,male,35.0,0,0,8.05,,S,373450.0
0,3,Mr,male,,0,0,8.4583,,Q,330877.0
0,1,Mr,male,54.0,0,0,51.8625,E46,S,17463.0
0,3,Master,male,2.0,3,1,21.075,,S,349909.0
1,3,Mrs,female,27.0,0,2,11.1333,,S,347742.0
1,2,Mrs,female,14.0,1,0,30.0708,,C,237736.0
1,3,Miss,female,4.0,1,1,16.7,G6,S,9549.0
1,1,Miss,female,58.0,0,0,26.55,C103,S,113783.0
0,3,Mr,male,20.0,0,0,8.05,,S,2151.0
0,3,Mr,male,39.0,1,5,31.275,,S,347082.0
0,3,Miss,female,14.0,0,0,7.8542,,S,350406.0
1,2,Mrs,female,55.0,0,0,16.0,,S,248706.0
0,3,Master,male,2.0,4,1,29.125,,Q,382652.0
1,2,Mr,male,,0,0,13.0,,S,244373.0
0,3,Mrs,female,31.0,1,0,18.0,,S,345763.0
1,3,Mrs,female,,0,0,7.225,,C,2649.0
0,2,Mr,male,35.0,0,0,26.0,,S,239865.0
1,2,Mr,male,34.0,0,0,13.0,D56,S,248698.0
1,3,Miss,female,15.0,0,0,8.0292,,Q,330923.0
1,1,Mr,male,28.0,0,0,35.5,A6,S,113788.0
0,3,Miss,female,8.0,3,1,21.075,,S,349909.0
1,3,Mrs,female,38.0,1,5,31.3875,,S,347077.0
0,3,Mr,male,,0,0,7.225,,C,2631.0
0,1,Mr,male,19.0,3,2,263.0,C23 C25 C27,S,19950.0
1,3,Miss,female,,0,0,7.8792,,Q,330959.0
0,3,Mr,male,,0,0,7.8958,,S,349216.0
0,1,Don,male,40.0,0,0,27.7208,,C,17601.0
1,1,Mrs,female,,1,0,146.5208,B78,C,17569.0
1,3,Miss,female,,0,0,7.75,,Q,335677.0
0,2,Mr,male,66.0,0,0,10.5,,S,24579.0
0,1,Mr,male,28.0,1,0,82.1708,,C,17604.0
0,1,Mr,male,42.0,1,0,52.0,,S,113789.0
1,3,Mr,male,,0,0,7.2292,,C,2677.0
0,3,Mr,male,21.0,0,0,8.05,,S,2152.0
0,3,Miss,female,18.0,2,0,18.0,,S,345764.0
1,3,Miss,female,14.0,1,0,11.2417,,C,2651.0
0,3,Mrs,female,40.0,1,0,9.475,,S,7546.0
0,2,Mrs,female,27.0,1,0,21.0,,S,11668.0
0,3,Mr,male,,0,0,7.8958,,C,349253.0
1,2,Miss,female,3.0,1,2,41.5792,,C,2123.0
1,3,Miss,female,19.0,0,0,7.8792,,Q,330958.0
0,3,Mr,male,,0,0,8.05,,S,23567.0
0,3,Mr,male,,1,0,15.5,,Q,370371.0
1,3,Miss,female,,0,0,7.75,,Q,14311.0
0,3,Mr,male,,2,0,21.6792,,C,2662.0
0,3,Mrs,female,18.0,1,0,17.8,,S,349237.0
0,3,Master,male,7.0,4,1,39.6875,,S,3101295.0
0,3,Mr,male,21.0,0,0,7.8,,S,39886.0
1,1,Mrs,female,49.0,1,0,76.7292,D33,C,17572.0
1,2,Mrs,female,29.0,1,0,26.0,,S,2926.0
0,1,Mr,male,65.0,0,1,61.9792,B30,C,113509.0
1,1,Mr,male,,0,0,35.5,C52,S,19947.0
1,2,Miss,female,21.0,0,0,10.5,,S,31026.0
0,3,Mr,male,28.5,0,0,7.2292,,C,2697.0
1,2,Miss,female,5.0,1,2,27.75,,S,34651.0
0,3,Master,male,11.0,5,2,46.9,,S,2144.0
0,3,Mr,male,22.0,0,0,7.2292,,C,2669.0
1,1,Miss,female,38.0,0,0,80.0,B28,,113572.0
0,1,Mr,male,45.0,1,0,83.475,C83,S,36973.0
0,3,Master,male,4.0,3,2,27.9,,S,347088.0
0,1,Mr,male,,0,0,27.7208,,C,17605.0
1,3,Master,male,,1,1,15.2458,,C,2661.0
1,2,Mrs,female,29.0,0,0,10.5,F33,S,29395.0
0,3,Mr,male,19.0,0,0,8.1583,,S,3464.0
1,3,Miss,female,17.0,4,2,7.925,,S,3101281.0
0,3,Mr,male,26.0,2,0,8.6625,,S,315151.0
0,2,Mr,male,32.0,0,0,10.5,,S,33111.0
0,3,Miss,female,16.0,5,2,46.9,,S,2144.0
0,2,Mr,male,21.0,0,0,73.5,,S,14879.0
0,3,Mr,male,26.0,1,0,14.4542,,C,2680.0
1,3,Mr,male,32.0,0,0,56.4958,,S,1601.0
0,3,Mr,male,25.0,0,0,7.65,F G73,S,348123.0
0,3,Mr,male,,0,0,7.8958,,S,349208.0
0,3,Mr,male,,0,0,8.05,,S,374746.0
1,2,Master,male,0.83,0,2,29.0,,S,248738.0
1,3,Miss,female,30.0,0,0,12.475,,S,364516.0
0,3,Mr,male,22.0,0,0,9.0,,S,345767.0
1,3,Mr,male,29.0,0,0,9.5,,S,345779.0
1,3,Miss,female,,0,0,7.7875,,Q,330932.0
0,1,Mr,male,28.0,0,0,47.1,,S,113059.0
1,2,Miss,female,17.0,0,0,10.5,,S,14885.0
1,3,Mrs,female,33.0,3,0,15.85,,S,3101278.0
0,3,Mr,male,16.0,1,3,34.375,,S,6608.0
0,3,Mr,male,,0,0,8.05,,S,392086.0
1,1,Miss,female,23.0,3,2,263.0,C23 C25 C27,S,19950.0
0,3,Mr,male,24.0,0,0,8.05,,S,343275.0
0,3,Mr,male,29.0,0,0,8.05,,S,343276.0
0,3,Mr,male,20.0,0,0,7.8542,,S,347466.0
0,1,Mr,male,46.0,1,0,61.175,E31,S,5734.0
0,3,Mr,male,26.0,1,2,20.575,,S,2315.0
0,3,Mr,male,59.0,0,0,7.25,,S,364500.0
0,3,Mr,male,,0,0,8.05,,S,374910.0
0,1,Mr,male,71.0,0,0,34.6542,A5,C,17754.0
1,1,Mr,male,23.0,0,1,63.3583,D10 D12,C,17759.0
1,2,Mrs,female,34.0,0,1,23.0,,S,231919.0
0,2,Mr,male,34.0,1,0,26.0,,S,244367.0
0,3,Miss,female,28.0,0,0,7.8958,,S,349245.0
0,3,Mr,male,,0,0,7.8958,,S,349215.0
0,1,Mr,male,21.0,0,1,77.2875,D26,S,35281.0
0,3,Mr,male,33.0,0,0,8.6542,,S,7540.0
0,3,Mr,male,37.0,2,0,7.925,,S,3101276.0
0,3,Mr,male,28.0,0,0,7.8958,,S,349207.0
1,3,Miss,female,21.0,0,0,7.65,,S,343120.0
1,3,Mr,male,,0,0,7.775,,S,312991.0
0,3,Mr,male,38.0,0,0,7.8958,,S,349249.0
1,3,Miss,female,,1,0,24.15,,Q,371110.0
0,1,Mr,male,47.0,0,0,52.0,C110,S,110465.0
0,3,Miss,female,14.5,1,0,14.4542,,C,2665.0
0,3,Mr,male,22.0,0,0,8.05,,S,324669.0
0,3,Miss,female,20.0,1,0,9.825,,S,4136.0
0,3,Miss,female,17.0,0,0,14.4583,,C,2627.0
0,3,Mr,male,21.0,0,0,7.925,,S,3101294.0
0,3,Mr,male,70.5,0,0,7.75,,Q,370369.0
0,2,Mr,male,29.0,1,0,21.0,,S,11668.0
0,1,Mr,male,24.0,0,1,247.5208,B58 B60,C,17558.0
0,3,Miss,female,2.0,4,2,31.275,,S,347082.0
0,2,Mr,male,21.0,2,0,73.5,,S,14879.0
0,3,Mr,male,,0,0,8.05,,S,54510.0
0,2,Mr,male,32.5,1,0,30.0708,,C,237736.0
1,2,Miss,female,32.5,0,0,13.0,E101,S,27267.0
0,1,Mr,male,54.0,0,1,77.2875,D26,S,35281.0
1,3,Master,male,12.0,1,0,11.2417,,C,2651.0
0,3,Mr,male,,0,0,7.75,,Q,370372.0
1,3,Mr,male,24.0,0,0,7.1417,,S,17369.0
1,3,Miss,female,,1,1,22.3583,F E69,C,2668.0
0,3,Mr,male,45.0,0,0,6.975,,S,347061.0
0,3,Mr,male,33.0,0,0,7.8958,,C,349241.0
0,3,Mr,male,20.0,0,0,7.05,,S,3101307.0
0,3,Mrs,female,47.0,1,0,14.5,,S,3337.0
1,2,Mrs,female,29.0,1,0,26.0,,S,228414.0
0,2,Mr,male,25.0,0,0,13.0,,S,29178.0
0,2,Mr,male,23.0,0,0,15.0458,,C,2133.0
1,1,Miss,female,19.0,0,2,26.2833,D47,S,11752.0
0,1,Mr,male,37.0,1,0,53.1,C123,S,113803.0
0,3,Mr,male,16.0,0,0,9.2167,,S,7534.0
0,1,Mr,male,24.0,0,0,79.2,B86,C,17593.0
0,3,Mrs,female,,0,2,15.2458,,C,2678.0
1,3,Miss,female,22.0,0,0,7.75,,S,347081.0
1,3,Mrs,female,24.0,1,0,15.85,,S,3101279.0
0,3,Mr,male,19.0,0,0,6.75,,Q,365222.0
0,2,Mr,male,18.0,0,0,11.5,,S,231945.0
0,2,Mr,male,19.0,1,1,36.75,,S,33112.0
1,3,Mr,male,27.0,0,0,7.7958,,S,350043.0
0,3,Miss,female,9.0,2,2,34.375,,S,6608.0
0,2,Mr,male,36.5,0,2,26.0,F2,S,230080.0
0,2,Rev,male,42.0,0,0,13.0,,S,244310.0
0,2,Rev,male,51.0,0,0,12.525,,S,1166.0
1,1,Mrs,female,22.0,1,0,66.6,C2,S,113776.0
0,3,Mr,male,55.5,0,0,8.05,,S,11206.0
0,3,Mr,male,40.5,0,2,14.5,,S,851.0
0,3,Mr,male,,0,0,7.3125,,S,265302.0
0,1,Mr,male,51.0,0,1,61.3792,,C,17597.0
1,3,Miss,female,16.0,0,0,7.7333,,Q,35851.0
0,3,Mr,male,30.0,0,0,8.05,,S,392090.0
0,3,Mr,male,,0,0,8.6625,,S,315037.0
0,3,Master,male,,8,2,69.55,,S,2343.0
0,3,Mr,male,44.0,0,1,16.1,,S,371362.0
1,2,Mrs,female,40.0,0,0,15.75,,S,33595.0
0,3,Mr,male,26.0,0,0,7.775,,S,347068.0
0,3,Mr,male,17.0,0,0,8.6625,,S,315093.0
0,3,Master,male,1.0,4,1,39.6875,,S,3101295.0
1,3,Master,male,9.0,0,2,20.525,,S,363291.0
1,1,Mrs,female,,0,1,55.0,E33,S,113505.0
0,3,Mrs,female,45.0,1,4,27.9,,S,347088.0
0,1,Mr,male,,0,0,25.925,,S,17318.0
0,3,Mr,male,28.0,0,0,56.4958,,S,1601.0
0,1,Mr,male,61.0,0,0,33.5,B19,S,111240.0
0,3,Master,male,4.0,4,1,29.125,,Q,382652.0
1,3,Miss,female,1.0,1,1,11.1333,,S,347742.0
0,3,Mr,male,21.0,0,0,7.925,,S,3101280.0
0,1,Mr,male,56.0,0,0,30.6958,A7,C,17764.0
0,3,Mr,male,18.0,1,1,7.8542,,S,350404.0
0,3,Master,male,,3,1,25.4667,,S,4133.0
0,1,Miss,female,50.0,0,0,28.7125,C49,C,17595.0
0,2,Mr,male,30.0,0,0,13.0,,S,250653.0
0,3,Mr,male,36.0,0,0,0.0,,S,
0,3,Miss,female,,8,2,69.55,,S,2343.0
0,2,Mr,male,,0,0,15.05,,C,2131.0
0,3,Master,male,9.0,4,2,31.3875,,S,347077.0
1,2,Master,male,1.0,2,1,39.0,F4,S,230136.0
1,3,Miss,female,4.0,0,2,22.025,,S,315153.0
0,1,Mr,male,,0,0,50.0,A32,S,113767.0
1,3,Mrs,female,,1,0,15.5,,Q,370365.0
1,1,Mr,male,45.0,0,0,26.55,,S,111428.0
0,3,Mr,male,40.0,1,1,15.5,,Q,364849.0
0,3,Mr,male,36.0,0,0,7.8958,,S,349247.0
1,2,Mrs,female,32.0,0,0,13.0,,S,234604.0
0,2,Mr,male,19.0,0,0,13.0,,S,28424.0
1,3,Miss,female,19.0,1,0,7.8542,,S,350046.0
1,2,Master,male,3.0,1,1,26.0,F2,S,230080.0
1,1,Mrs,female,44.0,0,0,27.7208,B4,C,17610.0
1,1,Miss,female,58.0,0,0,146.5208,B80,C,17569.0
0,3,Mr,male,,0,0,7.75,,Q,368703.0
0,3,Mr,male,42.0,0,1,8.4042,,S,4579.0
1,3,Miss,female,,0,0,7.75,,Q,370370.0
0,2,Miss,female,24.0,0,0,13.0,,S,248747.0
0,3,Mr,male,28.0,0,0,9.5,,S,345770.0
0,3,Mr,male,,8,2,69.55,,S,2343.0
0,3,Mr,male,34.0,0,0,6.4958,,S,3101264.0
0,3,Mr,male,45.5,0,0,7.225,,C,2628.0
1,3,Mr,male,18.0,0,0,8.05,,S,3540.0
0,3,Miss,female,2.0,0,1,10.4625,G6,S,347054.0
0,3,Mr,male,32.0,1,0,15.85,,S,3101278.0
1,3,Mr,male,26.0,0,0,18.7875,,C,2699.0
1,3,Miss,female,16.0,0,0,7.75,,Q,367231.0
1,1,Mr,male,40.0,0,0,31.0,A31,C,112277.0
0,3,Mr,male,24.0,0,0,7.05,,S,3101311.0
1,2,Miss,female,35.0,0,0,21.0,,S,13528.0
0,3,Mr,male,22.0,0,0,7.25,,S,21174.0
0,2,Mr,male,30.0,0,0,13.0,,S,250646.0
0,3,Mr,male,,1,0,7.75,,Q,367229.0
1,1,Miss,female,31.0,1,0,113.275,D36,C,35273.0
1,3,Miss,female,27.0,0,0,7.925,,S,3101283.0
0,2,Mr,male,42.0,1,0,27.0,,S,243847.0
1,1,Miss,female,32.0,0,0,76.2917,D15,C,11813.0
0,2,Mr,male,30.0,0,0,10.5,,S,14208.0
1,3,Mr,male,16.0,0,0,8.05,,S,392089.0
0,2,Mr,male,27.0,0,0,13.0,,S,220367.0
0,3,Mr,male,51.0,0,0,8.05,,S,21440.0
0,3,Mr,male,,0,0,7.8958,,S,349234.0
1,1,Mr,male,38.0,1,0,90.0,C93,S,19943.0
0,3,Mr,male,22.0,0,0,9.35,,S,4348.0
1,2,Mr,male,19.0,0,0,10.5,,S,751.0
0,3,Mr,male,20.5,0,0,7.25,,S,21173.0
0,2,Mr,male,18.0,0,0,13.0,,S,236171.0
0,3,Miss,female,,3,1,25.4667,,S,4133.0
1,1,Mrs,female,35.0,1,0,83.475,C83,S,36973.0
0,3,Mr,male,29.0,0,0,7.775,,S,347067.0
0,2,Mr,male,59.0,0,0,13.5,,S,237442.0
1,3,Miss,female,5.0,4,2,31.3875,,S,347077.0
0,2,Mr,male,24.0,0,0,10.5,,S,29566.0
0,3,Miss,female,,0,0,7.55,,S,6609.0
0,2,Mr,male,44.0,1,0,26.0,,S,26707.0
1,2,Miss,female,8.0,0,2,26.25,,S,31921.0
0,2,Mr,male,19.0,0,0,10.5,,S,28665.0
0,2,Mr,male,33.0,0,0,12.275,,S,1585.0
0,3,Miss,female,,1,0,14.4542,,C,2665.0
1,3,Miss,female,,1,0,15.5,,Q,367230.0
0,2,Mr,male,29.0,0,0,10.5,,S,14263.0
0,3,Mr,male,22.0,0,0,7.125,,S,3101275.0
0,3,Mr,male,30.0,0,0,7.225,,C,2694.0
0,1,Dr,male,44.0,2,0,90.0,C78,Q,19928.0
0,3,Miss,female,25.0,0,0,7.775,,S,347071.0
1,2,Mrs,female,24.0,0,2,14.5,,S,250649.0
1,1,Mr,male,37.0,1,1,52.5542,D35,S,11751.0
0,2,Rev,male,54.0,1,0,26.0,,S,244252.0
0,3,Mr,male,,0,0,7.25,,S,362316.0
0,3,Mrs,female,29.0,1,1,10.4625,G6,S,347054.0
0,1,Mr,male,62.0,0,0,26.55,C87,S,113514.0
0,3,Mr,male,30.0,1,0,16.1,,S,3336.0
0,3,Mrs,female,41.0,0,2,20.2125,,S,370129.0
1,3,Mrs,female,29.0,0,2,15.2458,,C,2650.0
1,1,Mrs,female,,0,0,79.2,,C,17585.0
1,1,Miss,female,30.0,0,0,86.5,B77,S,110152.0
1,1,Miss,female,35.0,0,0,512.3292,,C,17755.0
1,2,Mrs,female,50.0,0,1,26.0,,S,230433.0
0,3,Mr,male,,0,0,7.75,,Q,384461.0
1,3,Master,male,3.0,4,2,31.3875,,S,347077.0
0,1,Mr,male,52.0,1,1,79.65,E67,S,110413.0
0,1,Mr,male,40.0,0,0,0.0,B94,S,112059.0
0,3,Miss,female,,0,0,7.75,,Q,382649.0
0,2,Mr,male,36.0,0,0,10.5,,S,17248.0
0,3,Mr,male,16.0,4,1,39.6875,,S,3101295.0
1,3,Mr,male,25.0,1,0,7.775,,S,347083.0
1,1,Mrs,female,58.0,0,1,153.4625,C125,S,17582.0
1,1,Miss,female,35.0,0,0,135.6333,C99,S,17760.0
0,1,Mr,male,,0,0,31.0,,S,113798.0
1,3,Mr,male,25.0,0,0,0.0,,S,
1,2,Mrs,female,41.0,0,1,19.5,,S,250644.0
0,1,Mr,male,37.0,0,1,29.7,C118,C,17596.0
1,3,Miss,female,,0,0,7.75,,Q,370375.0
1,1,Miss,female,63.0,1,0,77.9583,D7,S,13502.0
0,3,Miss,female,45.0,0,0,7.75,,S,347073.0
0,2,Mr,male,,0,0,0.0,,S,239853.0
0,3,Master,male,7.0,4,1,29.125,,Q,382652.0
1,3,Mrs,female,35.0,1,1,20.25,,S,2673.0
0,3,Mr,male,65.0,0,0,7.75,,Q,336439.0
0,3,Mr,male,28.0,0,0,7.8542,,S,347464.0
0,3,Mr,male,16.0,0,0,9.5,,S,345778.0
1,3,Mr,male,19.0,0,0,8.05,,S,10482.0
0,1,Mr,male,,0,0,26.0,A19,S,113056.0
0,3,Mr,male,33.0,0,0,8.6625,,C,349239.0
1,3,Mr,male,30.0,0,0,9.5,,S,345774.0
0,3,Mr,male,22.0,0,0,7.8958,,S,349206.0
1,2,Mr,male,42.0,0,0,13.0,,S,237798.0
1,3,Miss,female,22.0,0,0,7.75,,Q,370373.0
1,1,Miss,female,26.0,0,0,78.85,,S,19877.0
1,1,Mrs,female,19.0,1,0,91.0792,B49,C,11967.0
0,2,Mr,male,36.0,0,0,12.875,D,C,2163.0
0,3,Miss,female,24.0,0,0,8.85,,S,349236.0
0,3,Mr,male,24.0,0,0,7.8958,,S,349233.0
0,1,Mr,male,,0,0,27.7208,,C,17612.0
